1,7/1/2006,18:55
Opening,,
SAA Introduction,Fei Ding,
President's Address,Siqi Shao,
Toastmaster of the Evening's Address,,
Ah-Counter Introduction,,
Grammarian Introduction,,
Timer Introduction,,
General Evaluator's Address,,
,,
First Half,,
Pathway Speech,,
Pathway Speech,,
Pathway Speech,,
Evaluation,,
Evaluation,,
Evaluation,,
New Guest Greetings,,
Networking,Members & Guests,
,,
Second Half,,
Pathway Speech,,
Pathway Speech,,
Pathway Speech,,
Evaluation,,
Evaluation,,
Evaluation,,
Table Topics,,
Ah-Counter Report,,
Grammarian Report,,
Timer Report,,
General Evaluation Report,,
,,
Awards & Closing,,
Voting and Announcements,,
Awards / Meeting Closing,Siqi Shao,